Português	Tupi Antigo
Um ou outro, somente, não faz esta aldeia pecar	Oîepé-ombé anhõ n'omoangaîpabi kó taba
Ter-nos-iam amaldiçoado	Îandé momburu meémo
Esse é meu antigo enforcador	Akó xe îubykarûera
O que nos faz estar segundo a vontade de Deus	Tupã remimotara rupi asé moingosara
O que te põe nu	Ikatupe nde moĩndara
Mas me esconde tu dele!	Xe mĩ-te îepé i xuí!
salvador da gente	moropysyrõana
Este dia é feriado	Kó 'ara marãtekoabe'yma
Logo, então, a cruz ergueram, fincando-a?	A'eîbépe ybŷá cruz mo'ami i atykábo?
Eu também os meus parentes trazendo, faço-os dançar comigo	Xe abé xe anametá aroporaseî seru
no meio, no centro, pelo meio, pela metade (de comprido, de uma extremidade à outra)	oîopyterybo
Eu estou caindo de sono	Xe kerapará-parar
Só isso está acima de tudo o que deve ser desejado	A'e anhõ opakatu i potarypyra sosé
Orando eu para Deus	Tupã supé ûiîerurébo
Meu coração ficando a revirar	Xe py'a pobu-pobu
Tendo dor de suas queimaduras	O kaîa moasŷabo
Tendo falta do acompanhamento da farinha (isto é, da carne ou do peixe)	U'i tyrama resé ekotebẽmo
Acreditas no pajé ao fingir assassinar as pessoas?	Ererobîarype paîé porapiti mo'anga'uba?
A crença em Deus está somente em suas bocas	I îurupe nhõ Tupã rerobîara ruî
Todos os bens de meus avós joguei fora	Opá xe ramyîa ma'epûera aîtyk
À direita de Jesus somente tu estás	Îesu 'ekatûápe nde nhõ ereimbé
Verdadeiramente, eis aqui teu caminho, aquele que tu procuras	Anheté kó nde rapé a'e nde remiekara
Na minha aûsência é que ele disse isso	Xe kupépe é ahẽ aîpó i 'éû
Vim para informar-te sobre minhas chacinas	Aîu nde momorandupa xe porapiti resé
peixe imprestável (isto é, que não é bom para se comer)	pirá-poxy
Meu ex-marido há de ser certamente, o finado Piracaém	Xe mendûera ipó re'ĩ, Piraka'ẽ amyrĩ!
Guardai-vos de querer ser como eu, mas, antes, se eu estivesse como vós, todas as coisas dolorosas sofreria neste mundo para aplacar a Deus	Peteumẽ xe îabé peîkó-potá, xe monẽ pe îabé gûitekóbomo opá mba'easy aîporará ikó 'ara pupé Tupã monhyrõmomo!
Embora eles tenham igrejas para ficar rezando, a todos arruinei	I Tupãok îepé, Tupãmongetá-ngetábo, aîmomoxy pabenhẽ
Para cima suas pernas mandou pregar	Ybaté koty ogûetymã moîarukari
Filhos de quem eram esses?!	Abá ra'yrape ûĩ?!
Olha para nós!	Ema'ẽ oré resé!
Matemos meu marido e, então, casemos um com o outro	T'îaîuká xe mena, a'ereme t'îamendar îandé îoesé
Como será que um habitante do inferno viveria neste mundo se Deus o fizesse viver fora dali um mês?	Marãeté'ĩ ra'umope amõ Anhanga ratá pora rekóû ikó 'ara pupé oîepé îasy Tupã ebanõî suí o moingobérememo?
Como vês, eu sou muito forte, um diabo que domina as guerras	Irõ, xe ratãngatu, anhanga maranyîara
o que se masturba	I pupukyba'e
Muito bem! Hei de ser castelhano	Aûîé nipó! Kasianamo t'aîkó
Jazo acordado	Aîubé
Cada vez que se lembra dela	Sesé o ma'enduara îabi'õ
Nossa alma visitas	Asé 'anga ereîosub
Eu sou muito longevo	Xe rekosûé-katu
Porventura a tentação é coisa semelhante a um laço?	Îusana abŷare'yma nhẽ serã tentação?
o que é circuncidado, o que tem o prepúcio cortado	i 'amopikytĩpyra
Eram muitos, para se revezarem uns aos outros nisso, ficando cansados	Setá, sesé oîopuru-purûabo o kane'õ-ne'õnamo
Estando a destilar coisa quente, coisa muito amarga	Mba'e-akuba, mba'e-robeté tukutuku okûapa
Que disse após prová-la (isto é, a bebida)?	Marã e'ipe sa'ang' iré?
Esses (mandamentos) estão implícitos nos que dizem como?	Marã e'iba'e pupépe aîpoba'e ruî?
Estou na penúria	Atyabor
Quer perdoar muito a nós	I nhyrõngatu-potá îandébo
Eu vivo papeando	Xe nhe'engixûer gûitekóbo
Desci com eles	Aroapy'am
Hoje mesmo	Kori é
Apalpaste teu ventre para matar teu filho?	Eresungápe nde rygé nde membyra îukábo?
Comeste objeto de furto de alguém?	Ere'upe abá mondarõagûera?
Não desiste nosso inimigo de sempre nos tentar	N'i apori oré sumarã îepinhẽ oré ra'anga
Eis que vais Vais (agora)	Eresó ûĩ
Como estava Jesus quando ele o fez sair?	Marãete'ĩpe Jesus o enosẽme?
do lado da superfície de, do lado de fora de (pex, de um vaso, de algo que tenha lado interior e exterior)	i apé koty
Estou com ele	Irũnamo aîkó
Afastaste teu filho e teu escravo de suas amantes?	Ereîpe'ape nde ra'yra, nde remiaûsuba i agûasá suí?
Eu sou muito perebento	Xe peré-pereb
Não faz efeito, às vezes, nosso remédio	Sarûab amõme asé posangygûaba
Portanto, não morri com um pecado sequer!	Irõ, oîepé tiruã pecado n'aromanõî!
Os que não são escondidos perdoa bem a eles	I kuakubypyre'yma i nhyrõngatu i xupé
faca de taquara	takûá-kysé
Mando matá-lo	Aîuká-ukar
Faço-as umas atrás das outras (se são muitas)	Aîmoîoakypûé-kypûer
Trouxeram pólvora em vão	Mokaba ogûeru tenhẽ
Vim, atravessando o oceano	Paranãgûasu rasapa aîu
Entraste com ele em teu aposento?	Ereroîképe nde kotype?
Eia, vamos logo!	Ene'ĩ, t'îasó taûîé!
Adversária da morte, senhora da vida	Te'õ rupîara nhẽ, tekobé îara
Socorri-o	Asepenhan
o que é (ou deve ser) feito morrer	i momanõmbyra
Jesus, o que eu desejo	Îesu, xe remimotara
muito longe	apûé-katu
A gente mesma acovarda-se, consentindo-o	Asé aé oîemoabangá i mborypa
sangradouro de rio	y-mombukaba
Como diz a outra petição da gente?	Marã e'ipe amõaé asé îeruresaba?
Não haverá outra comida?	N'i tybi xûépe amõ mi'u?
Querendo que eles se afastem de Deus	Tupã suí i îepe'a-potá
Vinde, levai os malditos, erguendo-os para sapecá-los em nosso fogo, derretendo-os	Peîori, perasó muru, supi îandé ratápe sapeka, i momembeka
Honra teu pai e tua mãe	Eîmoeté nde ruba nde sy abé
Fi-lo muito mal	Aîmonhang serã-serã
É muito terrível meu nome	I abaeté-katu xe rera
Tiro a sua ferrugem	Aîkytyngok
Conforta-me tu	Xe moapysyk îepé
Que entres no meu coração, guardando bem meu interior	Xe nhy'ãme t'ereîké, xe py'a moingatûabo
convidando os homens todos	apŷaba sogûabo pá
Bem desde o começo dela ouviste-a ou somente a partir do meio dela?	Iî ypy suí-katupe eresendu koîpó i ku'a suí nhote?
o ocultamento das coisas	mba'e kuakubagûera
Pratica o que tu aprendeste	Eîporu nde nhembo'eagûera
o que foi pai	tugûera
Hei de contar os pecados deles para que tu acredites em mim	T'aîpapáne i angaîpaba ta xe rerobîá îepé
Após passar o seu parto, Santa Maria levou seu filho Jesus para o templo	O membyraragûera kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype
A crença no Deus verdadeiro encheu meu interior	Tupã-eté rerobîara îaîporaká xe ybỹîa
Apanho caranguejos	Ausá-'ok
Vem para me encontrar	Eîori xe repenhana!
Eu vou só	Ixé anhõ asó
pano de algodão	amynyîu-aoba
Isso é o que é destinado a mim	Xe resendûara ebokûea
De modo nenhum os temiminós tiram seus nomes antigos	Naînanĩ temiminõ o erumûana mombó
Teriam ido para longe?	Osó meémo mamõ?
Que não deixem de crer em mim	Ta xe rerobîapo'ir umẽ
homem intolerante	abá-poromborybe'yma
Fica muito feliz, de fato, o homem que se defronta com a morte, encontrando o que cura	Sorybeté rakó abá tegûama porarasara moroposanongara supé ogûasema
Veio a aurora	Our ko'emytanga
Que é a morte?	Mba'epe te'õ?
princípio da compaixão	moroaûsubara 'yba
Deixei-o [o líquido] até o meio dela [a vasilha]	I ku'a rupi aseîar
Que me faça viver longamente	Ta xe moingobé-puku
Não deixam de ser presas de nossas mãos os que se confessam	N'opyki nhemombegûara îandé pó suí sembiara
Ah, quem me dera comer veneno para que eu morresse disso	- A'u temõ mba'eaíba mã a'emo nhẽ xe re'õû ãûa suí
Fizeste poções?	Mosangape ereîapó?
rio acima, a montante	y-apyrakoty
Os que não acreditavam nele trabalharam em conjunto, ficando a flechá-lo	Serobîasare'yma potyrõû iî ybõîybõmo
pequeno como isto	nãmo-nhõta'ub
Antes que ele agonize verdadeiramente, que vá alguém me chamar	I mara'areté e'ymebé t'osó abá xe renõîa
não é mesmo? (isto é, verás que te digo a verdade)	mba'e-tepe?
Lembra-te já de teus destinos últimos, do fim de tuas coisas	Nde ma'enduar nde rekosykagûama, nde rekó pabagûama resé rá
Ficaram todos gritando por causa disso	Oposẽ-posẽ pabenhẽ sesé
A de protetora dos aflitos é tua fama sempre	Moreaûsuba rerekoara nde rerapûana îepi
coisa manifesta, pública, coisa notória por ser vista	ikatupesûara
minha herança	xe potaba
Sobra-me dinheiro, certamente	Xe resemõ îepé itaîuba
Eis meus chifrões	Kó xe 'akusu
Hei de comer hoje seus braços (arrancados)	T'a'u kori i îybapûera
Eu tenho pintas	Xe pinim
Mato gente	Aporoîuká
conforme o dia	ara rupi
gordura de vaca	tapi'i-kaba
Seus fígados hão de ser minha porção	I py'apûera xe potabamo t'oîkó
A segunda (virtude) dele é a satisfação dos cônjuges	I momokõîndûara mendara moîekosupaba
São numerosos os que não são conhecidos	Se'yî i kuabypyre'yma
Conforme seu próprio pedido, na cruz o pregaram	Cruz resé i moîari, i îeruresabo é
Padeci acidentes	Amanõmanõ
Eu estou muito quebrantado	Xe pitubarusu
Eu sou manchado	Xe apŷab
Eu tenho secura na garganta	Xe aseó-tining
Tenho-o na cintura	Xe ku'aî arekó
Para fazer-te festa minha família fez-me vir	Ndebo toryba monhanga xe anama xe mbouri
Amaldiçoamos o diabo, a ti somente obedecendo muito	Oroîmomburu anhanga, nde nhõ nde rapîaretébo
Embora me evoques os atos, daqueles arrependo-me	Xe rekó-ekyî îepé, a'epûera aîmoasy
Embora tão somente uma vez uns anjos tenham transgredido a palavra de Deus, por causa disso, somente, Deus os fez ser diabos	Oîepé nhõngatu erimba'e karaibebé Tupã nhe'enga abyû biã, sesé nhõ Tupã i moingóû Anhangamo
os restos de nossos pecados	asé angaîpaba rembyrûera
No seu próprio ombro levanta a cruz	O ati'yba ri krusá osupi
Percebendo que a morte sucederia a si	O îoesé te'õ 'aragûama andupa
Uniram-se os homens maus	I îasear apŷabaíba
O homem, ao morrer um filho seu, fica longamente em pranto	Abá o a'yra re'õneme oîase'o-erekó-puku
Lava-o, fazendo brilhar meu coração	Eîmoîasyk, xe py'a moberapa
Faço roça	Akopir
eixo da roda de madeira que gira (no engenho de açúcar)	ybyrá-pararanga agûeá
Portanto, como escravos do diabo tornamo-nos totalmente?	Emonãnamope anhanga remiaûsubamo pabẽ asé nhemonhangi?
Eu estou-me agitando	Xe akurẽ-kurẽî
Pois, se um homem guarda seu próprio filho, quanto mais Deus compadecer-se-á de nós	Abá abiã é o a'yra ogûerekó-katu, memetipó Tupã asé raûsubáne
Faça-se tua vontade	T'onhemonhang nde remimotara
Deixa que eu vá para tentá-los	T'asó sa'anga tenhẽ
Eis que eu vou	Té ixé gûixóbo
O cão é ávido (isto é, bom de caça, quer tudo apanhar)	I mba'epotar îagûara
Acreditando no filho dela	I membyra rerobîá
É verdade isso?	Anhẽpe ûĩé?
É difícil para mim tentá-los	I abaí xébo sa'anga
Ontem, aos brancos deram combate	Kûesé, karaíba ri i pokoki
Dourei-o com ouro	Aîmoîub itaîuba pupé
Já te ungi com o óleo bento	Oropixyb umã îandy-karaíba pupé
Levou-o com suas ataduras	I popûasaba resebé serasóû
flechar gente	moro-ybõ
Não mato	Aîukae'ym
Mas não enfiará a gente a mão em sua boca para parti-lo?	Nd'opo'ẽî xûé-tepe asé o îuru pupé i mbo'iragûama reséne?
Meu entendimento todo fiz desaparecer	Xe tekokuaba opá amokanhem
Nasci com as pernas dobradas	Oîeaparybyri a'ar
Eu vim do rio dos paratis para ver a mãe de Deus, ficando a enfeitar-me	Xe Parati 'y suí aîu Tupã sy repîaka, gûinhemoîegûá-îegûaka
Arrependendo-se de seus pecados, deplorando-os	O angaîpaba moasŷabo, seroîasegûabo
Atei-lhe penas	Aîpepó-pûar
Dói a separação de nossa alma de nosso corpo	Sasy asé 'anga asé reté suí i îa'oka
Entrei nos caminhos das fontes	Aîké nhãîmbiara pupé
Que eu esteja contigo	T'aîkó nde irũ
Eis que, como está no céu, Nosso Senhor está dentro do pão	Akó ybakype ogûekó îakatu, Îandé Îara rekóû miapepûera
Sua remissão foi minha determinação	Sepyrama xe pûaîtaba
Ah, esquadrinham todos os lugares por nós	Té, oîoakypûereká îandébe
Sua mãe, cobrindo-o bem, defende-o do frio	I xy, i aso'ikatûabo, oîopîá ro'y suí
Por isso mesmo, amando-a, não a fez carecer de nenhuma virtude	Nd'e'i te'e tekokatu amõ resé i mopaneme'ymi saûsupa
Eis que o sábado reservou para a cessação do trabalho nele	Aîpó sábado pysyrõû i pupé ybŷá morabyky suí o pykápe
Futuros defuntos somos todos nós	Ambyrama pabẽ îandé
Após não realizar nosso pai primeiro o que Deus havia dito, a morte surgiu nele e em nós também	Tupã 'îaba îandé rubypy i mopore'ym'iré, te'õ 'ari sesé îandé resé béno
Dentro dela está sua divindade?	I pupépe i tupã rekóû?
Estando diante de Deus, de mim não te afastas	Tupã robaké eîkóbo, xe suí nd'eresyryki
Dessa maneira, vens para afastar nossa escuridão	Emonãnamo, ereîu oré putuna pe'abo
Ela tem folhas	Sob
Sou leviano	Abebuînhẽ
Virei-o ao contrário	Arobak
Quando a gente se batiza, põe seu próprio entendimento?	Asé îemongaraíme o 'ara moíni?
Aparei-o	Anhopan
Ah, eu estou muito quente aqui!	Xe rakubeté kó mã!
A dança é que é boa, enfeitar-se, tingir-se as pernas com urucu	Moraseîa é i katu, îegûaka, îetymã-gûanga
Eu tenho diarréia	Xe rygeaíb
Eu tenho o pé adormecido	Xe py-îesyî
Levaram-no para um certo palácio, fazendo-o entrar consigo	Ogûerasó amõ okusupe seroîkŷabo
Oh, oxalá viesse!	Té, temõ oú mã!
Com sua própria irmã não pode ninguém se casar	O endyra resé nd'e'ikatuî abá omendá
Disse isso conhecendo o futuro esmagamento dos habitantes daquela cidade chamada Jerusalém	Akûé tabusu Îerusalém 'îaba pora mombebaûama kuapa nhẽ aîpó i 'éû
Elas, certamente, são más	A'e, rakó, i angaîpá
Eu açouto gente, de costume	Xe poronupã îá
Ele nunca acaba de completar as roupas (lit, não se mostra ele, enfim, completando as roupas) Nd'e'i ymûanĩ osóbo - Nunca acaba ele de ir (lit, não se mostra finalmente indo)	Nd'e'i ymûanĩ ahẽ aoba moaûîébo
Como o revolutear de um urubu sobre coisas fedorentas, tu voltas o rosto para trás	Urubu mba'enema 'arybo nhemoîereba îabé, nde atybak
Para onde a multidão numerosíssima levou Nosso Senhor?	Mamõpe erimba'e te'yî-katupabẽ Îandé Îara rerasóû?
No transcorrer de quatro gerações	Oîoirundyk îeapyká sykápe
Fez vir outrora alguma coisa boa do céu para seus discípulos?	Oîmbourype erimba'e mba'e-katu amõ ybaka suí o boîaetá supé?
Acreditas na dança do Guajupiá?	Ererobîarype Gûaîupîá moraseîa?
Dormes, Guaixará?	Ereképe, Gûaîxará?
E o que tem excitação por sua amante, que acontece?	A'epe o agûasá resé segûyrõba'e, marã?
rechonchudão, baixo e largo de corpo	apebusu
Rouba-o aí por perto	Mbype emondarõ sesé
Para cima suas pernas mandou pregar e, para baixo, sua cabeça	Ybaté koty ogûetymã moîarukari,'yba koty o akanga
o que anuncia as coisas, o pregador	mba'e reronhe'engara
Vem, coisa fedorenta!	Eîori, mba'enem!
Por isso mesmo não tinha maldade antes de se destinar para mãe de Deus- Filho	Nd'e'i te'e o poxye'ymamo Tupã-Ta'yra syramo o îe'o îanondé
Cura-se algumas vezes, segundo os desígnios de Deus para a gente	Opûerab amõnyme, Tupã asé rerekokuapaba rupi é
enforcador	aîubykara
protetora dos aflitos	moreaûsuba rerekoara
Moro de parede-meia	Apyri aîkó
Antigamente eu estava aflito, praticando meus vícios	Akûeîme aîkotebẽ, xe rekopoxy purûabo
Por acaso ele tinha o sangue escorrido pelo rosto e pelas costas?	Sugûy-syryk serã sobá rupi i atukupé rupi bé?
Fi-lo mal	Aîmonhã-memûã
É formosa, certamente, a lua, vindo com sua grande face	I aysó, nipó, îasy, og obagûasu reru
Teus olhos misericordiosos volta em minha direção	Nde resá poraûsubara erobak ixé koty
tear de redes	inĩ-ytá
Entrando nos seus antigos corpos, fazendo-os levantar imediatamente	Ogûetepûera pupé oîkŷabo, i mopu'ama kûeîeténe
Eu estou estirado	Aîepysó gûitupa
Mas seria difícil para as pessoas comer minha carne	A'e iîabaíbymo abá supé xe ro'o 'u
característica de homem mau	apŷabaíba rekoaba é
Alguém não reconheceria ter comido algo bom, esquecendo-se da excelência de seu sabor?	Abámo mba'e-katu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?
Eu estou opilado	Xe apong
Ele tem a água esgotada	Ty-pab
Pode também (a gente) tomá-lo algumas vezes em outros dias?	E'ikatu bépe amõ 'ara pupé amõme asé tara?
Sofreste a morte	Te'õ ereîporará
Antigamente estava aflito, praticando meus vícios	Akûeîme aîkotebẽ, xe rekopoxy purûabo
No terceiro dia	Ara nhemomosapyra pupé
Assim como a gente reconhece o dia dos santos, do mesmo modo, também, até mesmo seus ossinhos a gente cultua, tendo-os no pescoço	Oîabo asé santos 'ara kuabi, oîabo bé asé i kangûerĩ tiruã momba'etéû, o aîuri serekóbo
Sigo-lhe o rastro	Asakypûembour
Mãe de Deus muito bela	Tupã sy-porangeté
Que esteja comigo também ao estar eu em ocupação	Xe irũnamo bé t'oîkó marã xe rekóreme
Eia, os temiminós de dia confessam seus pecadilhos somente	Ene'ĩ, temiminõ 'arybo nhẽ oîmombe'u o angaîpá-mirĩ anhõ
nunca mais	aani xûé ko'yténe
Que chegue logo ao lugar em que o matarão	T'obasem esapy'a o îukaûãme
Peço a Pedro por roupa	Aîeruré aoba resé Pedro supé
Igualmente a morte está entre os moços e entre os velhos	Oîoîá te'õ rekóû kunumĩgûasu suí tuîba'e suí bé
Tinjo-lhe os pés (com urucu)	Aîpy-gûang
Ainda que somente uma migalha dele a gente come	I kurubipûera anhõte îepé asé o'u
o aleijado de orelhas	nambi-asyka
suas pajelanças, sua antiga crença nos pajés	i nhemopaîeagûera, i paîé rerobîaragûera
por aí, por essa parte	ebapó rupi
Eu sou um aleijado	Xe ate'ẽ
Achaste-os por perto?	Mbype erebasẽ i xupé?
Será que amais vosso salvador?	Pesaûsu ra'upe pe pysyrõana?
Quantos são os que recebem compaixão?	Mbobype saûsubarypyra?
Acenaste com a mão para alguma mulher?	Ereîepoeîtykype kunhã amõ supé?
Por isso mesmo os que tiram seu chapéu para eles transgridem a palavra de Deus	Nd'e'i te'e i xupé o akangaó-'okara Tupã nhe'enga abŷabo
lugar costumeiro de minha pescaria	xe pindaeîtykatyba
Dentro daquele navio fazendo-os embarcar consigo também	A'e ygarusu pupé sero'arukáno
desde minha vinda	xe rura agûerabé
Saiu para o pátio, chorando muito dolorosamente	Osem okarype, oîase'o-asy-katûabo
Bordei-o	Asemberung
tamanduá topetudo	tamandûá-atyrabebó
Tu te alegraste por alguém cometer furto delas?	Nde rorype sesé abá mondarõagûera resé?
No caso de o desejares muito mesmo, que se faça (tua vontade)	Nde i potasábo-katu é, t'onhemonhang
lume das águas	y rendyîaba
Prendi-os uns ao lado dos outros	O îoyby-ybyri aîmoín
Havemos de nos ajudar um ao outro para criarmos nossos filhos	T'oroîopytybõne oré poromonhangagûera mongakuapa
Passeei	Aîebyîebyr
Eu sou calvo	Xe 'apytereb
O que é comum é aquela mulher quebrar em pedaços nossas cabeças	Sekoaba'e kûé kunhã oré akanga i apiti
Que não aconteça de algo te deixar ignorante	Te'itenhẽumẽ mba'e amõ nde motekokuabe'yma
Onde tu roubaste?	Umãmepe nde mondá?
a mãe de meus filhos	xe ra'ysy
Celebrando a missa para a gente	Missa ra'anga asébe
Que fez antes de morrer, estando pronto?	Marãpe erimba'e sekóû o e'õ îanondé o ekoaûîéramo?
Oxalá ele não tivesse coisas boas!	N'i mba'e-katuî xûé-temo ahẽ mã!
Eles se consolam muitíssimo	I apysy-katueté
Não hei de ir (dito por mulher)	Asó umẽpe ky
atrás de uma cerca feita de pedras	ybyrá itá-monhangymbyra kupépe
Eu estou ficando pensativo	Apyk gûitekóbo
Reunindo seus ossos no chamado Vale de Josafat	I kangûera reŷnhanga ybytygûaîa Îosaphat 'îápe
Suas almas e seus corpos fez	I 'anga seté monhangi
Escorei-o	Aîokok
Vamos ao seu caminho	T'îasó sapépe
Isso é assim, certamente	Emonã ûĩ re'a
Não faz mal, não há problema	Na sasyî
Será que estais sossegados, como os que não vêem a morte?	Pe apysykĩ serã peîkóbo te'õ repîakare'yma rame'ĩ?
Mandam que os batizados honrem o domingo após Nosso Senhor o santificar com seu retorno à vida	Domingo momba'eté-ukari i mongaraibypyretá supé o ekobé îebyragûera pupé Îandé Îara i mongaraib'iré
Pensa em vir para vos espantar	Oú-mo'ang pe mondyîa
Três são as potências de nossa alma a respeito das coisas	Mosapyr ma'e resé asé 'anga 'ekatuaba
Elas são muito altas?	Iîybaté-katupe?
Ofendeste tua avó?	Ereîanga'ope nde aryîa?
Não querendo que o diabo esteja como seu senhor	Anhanga o îaramo sekó potare'yma
Após acabar este desterro comum, faze a nós vê-lo	Ikó îope'asagûera syk'iré esepîakukar orébe
Arranquei-lhe a casca (fal de árvore ou madeira)	Aîpé-'ok
É enjoativa minha comida	I ting xe remi'u
No meio do caminho, meninos fizeram assalto a mim	Pé ku'ape, kunumĩ pu'ama'ubi xe ri
o que é cabeçudo (como o virote)	i apytagûaba'e
Maltrato-o	Arekomarã
E, por outra parte, semelhantemente, o próprio mar será mais terrível do que foi seu costume	Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
Nós vos matamos	Oré opoîuká
Ele passou defronte de Nhoesembé	Sobábo akûab - Diante deles passei Nhoesembé robábo i kûáî
Que me livre das dificuldades	Ta xe pysyrõ marãtekó suí
mata ótima, de boa madeira	ka'aeté
Já todos os tamoios foram	Opá umã tamũîa sóû
fibras esvoaçantes (isto é, fibras finas)	pó-bebé
Quem mais não o transgride, não jejuando?	-Abá abépe nd'oîabyî oîekuakube'yma?
Eis que eu faço as pessoas estarem na bebedeira sempre	Ixé kó ka'u resé aporomoingó îepi
Embora eles tenham igrejas, a todos arruinei	I tupãok îepé aîmomoxy pabenhẽ
Aquecendo-se perto do fogo	Tatá ypype oîepegûabo
No mesmo dia em que tu a comeres cairá a morte em ti	Ara nde i gûaba pupé bé o'a te'õ nde reséne
Com seu filho não se importando	O a'yra resé oputupabe'ymamo
A não ser que Deus não a fizesse estar consigo	Tupã serekó e'ymetemonaémo
E como alguém procederá encontrando o que esqueceu?	A'epe marã abá rekóû a'e o esaraîagûera supé ogûasemane?
Ao comer junto dos seus discípulos, o pão que tomou em suas mãos devolveu-o como seu corpo	Gûemimbo'e pyri o karûápe, miapé o pópe gûemiîara i moîebyû gûetéramo
Um certo judeu velho mostrou o lugar em que ela fora enterrada	Amõ îudeu-tuîba'e i tymagûera kuabe'engi
Mas não castigará o homem seu filho e seu escravo?	N'oînupãî xûé-tepe abá o a'yra o embiaûsubane?
Ai! Queima-me Deus!	Erĩ! Xe rapy Tupã!
Ficaram todos gritando com ele	Oposẽ-posẽ pabenhẽ sesé
fio embotado	aembé-korõîa
Todos os cristãos honram-me muito	Opakatu karaíba xe momba'eté-katu
Achegamo-nos um ao outro	Oroîoerobyk
Amainei a vela	Aroîyb aoba
Apartei-os	Aîmoîa'ok
lugar de vender carne, açougue	so'o ma'e'ĩndaba
Para não fazer enlamear a alma da gente	Asé 'anga motuîukukare'yma
Com seu sangue me lavou	Og ugûy pupé xe reî
Morreríamos certamente antes que contasse para as pessoas o que viu	Îamanõ îepémo serã sepîakagûera abá supé mombe'u e'ymebémo
doador de nossa vida	îandé rekobé me'engara
Avaliei-o	Asepyenõî
Quem o fez outrora, começando a pronunciá-lo?	Abápe aîpoba'e oîmonhang erimba'e, sa'angypŷabo?
Eu sou molengão	Xe rekoporeaûsub
Eu fico salivando	Xe rendy-rendy
Eia, afasta-me depressa!	Ne'ĩ taûîé xe reîyîa!
